Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
295.50821513010897,17.177113485123424,58.72323971349411,10523.744704060042,2.7271070308421546e-08,0.020694240610196556,67.63905845422296
296.0082149301106,17.184316470146108,58.72477745942299,10521.439329845185,-7.629523985449764e-09,0.032104699518460705,67.64502637718914
296.5082147301123,17.191441847930157,58.72629785758793,10518.573781000767,-8.234360245452984e-09,0.04587000730366686,67.65052477750494
297.00821453011395,17.198491797525786,58.7278014257523,10515.443813537353,-1.2662756755047557e-08,0.05974137899154786,67.65530622025712
297.5082143301156,17.20546813955845,58.729287814126685,10518.881835636092,0.003684184411874072,11.432854066573972,68.71631654248571
298.00821413011727,17.21234519253104,58.73074762381414,10557.467928583164,0.007868432120557812,21.832661552508856,69.8668174821292
298.5082139301189,17.219053521259863,58.732162532403045,10639.47844612906,0.011888425564092798,30.095657556191625,71.1641467948036
299.0082137301206,17.22551943410823,58.73351552500461,10763.847305263085,0.01602758368874406,36.53952325449505,72.6214216736274
299.50821353012225,17.231679134966896,58.73479397145264,10927.400957064754,0.019610825347684466,41.43080893069676,74.20457358279138
300.0082133301239,17.237486113306225,58.7359907715948,11125.649240034378,0.022885518759424,44.98378798139518,75.86322911570068
300.50821313012557,17.242915086557733,58.73710439817453,11353.400636494027,0.03255160375542347,47.366408050584376,77.62374205162118
301.00821293012723,17.247968417112702,58.73813855090445,11604.86857410568,0.05633437683941435,48.68127149979302,79.48436170689283
301.5082127301289,17.252719775798226,58.7391046912264,11871.399079040631,0.08550546741060122,48.977639021153195,81.36488263582329
302.00821253013055,17.257269267412553,58.74001490026658,12145.202490524698,0.08510504111085032,48.384189205802734,83.23380559653444
302.5082123301322,17.261706386328374,58.7408777242527,12420.698362850511,0.05573468491713629,46.999259421033734,85.1066303819765
303.00821213013387,17.26610804883463,58.74169838445606,12693.662033130277,0.0196173657860609,44.89811692963256,86.92285618628681
303.50821193013553,17.27053860303006,58.74247940982377,12960.686006878173,0.006517584024632552,42.14456478176985,88.64821002320897
304.0082117301372,17.27505033649503,58.743221404465935,13218.845158828579,0.00234151559919776,38.8029599507809,90.19595308869532
304.50821153013885,17.27968389520372,58.74392383795244,13465.500285611031,0.00011899313167880052,34.95111836943384,91.57078681667733
305.0082113301405,17.284468617102586,58.744585640328616,13698.198814835921,-1.5215148040350057e-05,30.692399931156828,92.7572914659516
305.5082111301422,17.289422512882375,58.74520575507151,13914.665897118277,-0.0011807379533594602,26.16273588429014,93.73613716537824
306.00821093014383,17.29454871113309,58.74578375491332,14113.176611127225,-0.001435407406974013,21.036226977993127,94.52754312222476
306.5082107301455,17.299836323437738,58.74632011553407,14292.766969405337,-0.0031023401665346505,5.52443116447373,95.14893301724905
307.00821053014715,17.305290151406442,58.746814969177386,14450.437742322378,-0.0018277509294437,-8.95068017855897,95.63736298712976
307.5082103301488,17.3109140697355,58.7472686313464,14581.80832644994,-0.0005417024218940216,-20.596691417723072,96.00474165154776
308.0082101301505,17.316692416307745,58.747682618261365,14682.825238576976,0.00010468933865321215,-29.65391069194601,96.25760113780946
308.50820993015213,17.322585512826613,58.74806004947677,14751.310108114556,0.0003602404204649176,-36.612201565624744,96.41867836779551
309.0082097301538,17.328542660534346,58.74840489739266,14786.548142867716,0.000268773219736394,-41.89259440829712,96.52039678526315
309.50820953015545,17.33451109159977,58.74872133226922,14788.952033631233,-0.0006063246318254048,-45.34721802134613,96.62025788780666
310.0082093301571,17.340441957156322,58.7490132291179,14760.00507518963,-0.0020031340530720135,-46.84253995647948,96.77049844356867
310.5082091301588,17.346295475750654,58.7492838055608,14702.199809927613,-0.0022078364701065864,-46.81763354664903,96.96310051691235
311.00820893016044,17.352043571496502,58.74953548509483,14618.58308561605,-0.0006996744185014051,-47.26431873078396,97.15761901052082
311.5082087301621,17.357666696614903,58.749770099493226,14511.834193804596,-0.0007532202190641393,-46.766819307859194,97.39883977830182
312.00820853016376,17.363149192960787,58.74998915528934,14383.973426038832,-0.002932714269291157,-45.082798417954955,97.75068147757827
312.5082083301654,17.368480130937975,58.750193768799235,14236.894628756056,-0.003431551857614258,-42.113965745196246,98.21178214507205
313.0082081301671,17.37365362297647,58.75038465303303,14072.494294005606,-0.0005403951014761253,-40.04214471696526,98.69820614491175
313.50820793016874,17.37867845178585,58.75056134667438,13893.5367099659,0.0008117317284895342,-38.74278202990016,99.1983370614684
314.0082077301704,17.383594238690073,58.75072075716842,13704.798855421364,0.0007252033049861855,-38.080366713923375,99.67585503569134
314.50820753017206,17.38843418627899,58.75085998307534,13509.659007599375,0.0003393334638617682,-37.5242014556712,100.11917800376843
315.0082073301737,17.3932287489403,58.75097609313729,13310.861354267809,-0.00048045788937317894,-35.53306301593991,100.55419014520272
315.5082071301754,17.398021382869207,58.75106469765949,13112.019797421706,-0.00017495643663902497,-32.321370028983594,100.96921579778522
316.00820693017704,17.40286695663543,58.75111998063924,12917.765447198733,-0.0008167649362939108,-26.699244374825962,101.38783604670179
316.5082067301787,17.407835277248147,58.751134239475526,12734.696095504823,0.0001117834100290993,-18.847518368739713,101.76493480925718
317.00820653018036,17.412961602915583,58.75110315671853,12567.781871244255,6.804212367653536e-05,-9.657517184121627,102.08909530588555
317.508206330182,17.418247128851146,58.75102619241798,12420.020493389333,0.0004103629819362925,-0.6743056683765379,102.30732613340078
318.0082061301837,17.423683530360254,58.75090440062796,12294.446063217652,-0.00024241056673159596,7.103313785002673,102.36685941379403
